#START7777
#--------------------------------------------------------------------------------------------------
#  TA     : 정시기온 (C) 
#  WD     : 정시 10분 평균 풍향 (degee) 
#  WS     : 정시 10분 평균 풍속 (m/s) 
#  RN_DAY : 해당시간까지의 일강수량 (mm) 
#  RN_HR1 : 1시간 강수량 (mm) 
#  HM     : 정시습도 (%) 
#  PA     : 정시 현지기압 (hPa) 
#  PS     : 정시 해면기압 (hPa) 
#--------------------------------------------------------------------------------------------------
# YYMMDDHHMI   STN     TA     WD     WS RN_DAY RN_HR1     HM     PA     PS
#        KST    ID      C    deg    m/s     mm     mm      %    hPa    hPa
202606250600   108   21.2   50.8    2.7    0.0    0.0   57.1  996.7 1006.6
202606250700   108   21.5   74.9    2.7    0.0    0.0   57.6  996.6 1006.5
202606250800   108   22.3   40.4    2.6    0.0    0.0   56.0  996.8 1006.6
202606250900   108   22.8   44.5    2.6    0.0    0.0   55.8  996.6 1006.4
202606251000   108   23.2   80.3    1.6    0.0    0.0   55.7  996.5 1006.3
202606251100   108   23.2   39.9    2.5    0.0    0.0   58.0  996.5 1006.3
202606251200   108   23.5  110.7    2.1    0.0    0.0   63.5  996.0 1005.8
202606251300   108   23.0   53.2    2.8    0.0    0.0   71.1  995.4 1005.2
202606251400   108   23.1   75.3    2.0    0.0    0.0   70.6  995.3 1005.1
202606251500   108   23.6   43.3    2.3    0.0    0.0   70.0  994.6 1004.4
202606251600   108   23.9   51.2    2.1    0.0    0.0   69.0  994.4 1004.1
202606251700   108   23.7   44.3    1.7    0.0    0.0   68.8  994.1 1003.8
202606251800   108   23.6   47.5    1.6    0.0    0.0   68.9  994.4 1004.2
202606251900   108   23.4   29.5    1.4    0.0    0.0   69.5  994.8 1004.6
202606252000   108   22.8   40.1    1.8    0.0    0.0   70.8  994.9 1004.7
202606252100   108   21.9  308.7    4.6    0.0    0.0   77.1  995.4 1005.2
202606252200   108   20.9   45.6    2.0    0.3    0.3   79.8  995.9 1005.8
202606252300   108   20.4   40.6    1.7    0.3    0.0   80.4  995.6 1005.5
202606260000   108   19.6   40.3    1.9    0.3    0.0   82.6  995.6 1005.5
202606260100   108   19.2   10.5    1.0    0.0    0.0   83.0  995.4 1005.3
202606260200   108   18.7   67.0    1.3    0.0    0.0   82.9  995.3 1005.2
202606260300   108   18.1   50.0    2.2    0.0    0.0   84.1  995.7 1005.7
202606260400   108   17.6   51.7    1.8    0.0    0.0   86.3  995.8 1005.8
202606260500   108   17.4   58.7    1.5    0.0    0.0   85.1  996.1 1006.1
202606260600   108   17.3   52.6    1.6    0.0    0.0   83.2  996.4 1006.4
202606260700   108   18.4   32.9    1.8    0.0    0.0   82.8  996.2 1006.2
202606260800   108   20.6   28.5    2.0    0.0    0.0   72.1  996.5 1006.4
202606260900   108   22.2  159.9    1.5    0.0    0.0   68.2  996.6 1006.4
202606261000   108   23.3  280.3    2.5    0.0    0.0   64.9  996.7 1006.5
202606261100   108   24.4  277.8    1.6    0.0    0.0   58.3  996.4 1006.1
